id,Name,titleProject_id,class,score,login,password
1,Иванов Иван Иванович,Умпа-лумпа,10а,232,Иванов_ИИ,x598ZPES
2,Хадаров Владимир Глебович,Биби-буба,10т,278,Хадаров_ВГ,dGf7HiCJ
3,Аран Маманов Бахмутович,Продукты,11а,297,Аран_МБ,K0V77axL
4,Аман Романов Реданович,Овощи,11в,247.667,Аман_РР,qM6D7ekU
5,Припеков Алексей Николаевич,Нигерия,11е,247.667,Припеков_АН,g4B1s7IQ
6,Андропов Павел Афонович,Союзы,10е,247.667,Андропов_ПА,v29P48EG
7,Нинов Олег Стрелыч,Присказки,8в,233,Нинов_ОС,5TjefV8Q
8,Апачанов Борис Михалыч,Попоны,8ы,212,Апачанов_БМ,p9DBplJS
9,Нонинов Анан Ананович,Робо,11р,234,Нонинов_АА,h3IV9XEN
10,Евгенов Павел Ефремович,Апача,11е,247.667,Евгенов_ПЕ,lFJiq93W
